OBJECTID,LAD22CD,LAD22NM,BNG_E,BNG_N,LONG,LAT,GlobalID,SHAPE_Length,SHAPE_Area
1,E06000001,Hartlepool,447160,531474,-1.27018,54.67614,{2576BA95-3898-4244-AC70-3C4808642BAF},70995.1737762769,93717028.4682631
2,E06000002,Middlesbrough,451141,516887,-1.21099,54.54467,{B03A3267-2336-4536-90D3-05F179F0777D},44479.6463704944,53881558.2756672
3,E06000003,Redcar and Cleveland,464361,519597,-1.00608,54.56752,{708A11DF-CBC7-4BC4-976B-5509EDF2C4FB},96703.510654422,245069510.006885
4,E06000004,Stockton-on-Tees,444940,518183,-1.30664,54.556911,{3A4EFC85-966A-4BA4-AFA4-8DDF4C962AFD},123404.959102325,204932934.936991
5,E06000005,Darlington,428029,515648,-1.56835,54.535339,{02BE29D6-FEC1-49DF-B81A-DF81E66D0678},107202.299425244,197477753.555023
6,E06000006,Halton,354246,382146,-2.68853,53.33424,{28233048-0E71-41B7-A10F-00915BE3E43E},77769.836615617,79084021.9704082
7,E06000007,Warrington,362744,388456,-2.5616701,53.391628,{C6CBA057-B55E-4F9C-A876-17BE9B07C9C8},114688.093563908,180627983.012439
8,E06000008,Blackburn with Darwen,369490,422806,-2.4635999,53.700802,{F991DCBC-5952-444D-A323-634319147112},65284.373515037,137022093.525703
9,E06000009,Blackpool,332819,436635,-3.0219901,53.82164,{A380776F-0E0B-4E08-B8F9-363CA8AC35B4},34480.7839275111,34870852.2285068
10,E06000010,"Kingston upon Hull, City of",511894,431650,-0.30382001,53.769199,{DD25F1E2-7835-40DA-825E-718687B8A91C},64680.530906749,71583595.6553129
11,E06000011,East Riding of Yorkshire,488056,443597,-0.66194999,53.881119,{6595FC80-18ED-474E-AE02-4737F6C15EFF},504120.094305932,2404768954.86241
12,E06000012,North East Lincolnshire,523465,404564,-0.13911,53.52327,{DF13C458-E280-480D-A0C3-756DF76390DD},93246.2876540836,192622985.584533
13,E06000013,North Lincolnshire,497800,410993,-0.52407002,53.58643,{C7E2EEC7-6A71-4062-B14B-BB051F368465},244546.761114545,846540125.377698
14,E06000014,York,460864,452589,-1.07375,53.96582,{2186601E-FF06-450A-AB54-8E2B8B79B469},102020.79743521,271931454.714777
15,E06000015,Derby,435609,335375,-1.47189,52.914639,{D29DAB20-D1B5-4772-8A07-F266AE944FB0},50036.3185804889,78031107.3558926
16,E06000016,Leicester,458946,304594,-1.1303999,52.635921,{91A7F7B7-F3E2-446C-846F-E321F170CE14},51929.4942082033,73342034.1652942
17,E06000017,Rutland,492992,308655,-0.62629998,52.667648,{9D9F1D15-11D8-4A84-A410-F00CC48B8437},125879.320087915,393748938.334122
18,E06000018,Nottingham,456082,339969,-1.16667,52.954189,{3B442135-A931-4256-B4B2-1975AC29314A},58723.7427401093,74613549.3097304
19,E06000019,"Herefordshire, County of",349434,242834,-2.73931,52.081539,{6C60F4D7-C779-4F14-9282-A8F7D468D388},349869.988254533,2179708317.85815
