,CTYUA22CD,CTYUA22NM,LONG,LAT,xi,yi,grid_x,grid_y
0,E06000001,Hartlepool,-1.27018,54.67614,14.0,20.0,-0.4700713538222946,54.92565518280222
1,E06000002,Middlesbrough,-1.21099,54.54467,14.0,19.0,-0.6756325936475864,54.56961267135796
2,E06000003,Redcar and Cleveland,-1.00608,54.56752,15.0,19.0,-0.2645101139970025,54.56961267135796
3,E06000004,Stockton-on-Tees,-1.30664,54.55691,13.0,19.0,-1.0867550732981703,54.56961267135796
4,E06000005,Darlington,-1.56835,54.53534,12.0,20.0,-1.2923163131234623,54.92565518280222
5,E06000006,Halton,-2.68853,53.33424,8.0,15.0,-3.14236747155109,53.14544262558093
6,E06000007,Warrington,-2.56167,53.39163,9.0,15.0,-2.731244991900506,53.14544262558093
7,E06000008,Blackburn with Darwen,-2.4636,53.7008,9.0,19.0,-2.731244991900506,54.56961267135796
8,E06000009,Blackpool,-3.02199,53.82164,8.0,19.0,-3.14236747155109,54.56961267135796
9,E06000010,"Kingston upon Hull, City of",-0.30382,53.7692,16.0,18.0,0.3521736054788732,54.2135701599137
10,E06000011,East Riding of Yorkshire,-0.66195,53.88112,15.0,18.0,-0.05894887417171066,54.2135701599137
11,E06000012,North East Lincolnshire,-0.13911,53.52327,17.0,17.0,0.5577348453041653,53.85752764846944
12,E06000013,North Lincolnshire,-0.52407,53.58643,16.0,17.0,0.14661236565358138,53.85752764846944
13,E06000014,York,-1.07375,53.96582,14.0,18.0,-0.4700713538222946,54.2135701599137
14,E06000015,Derby,-1.47189,52.91464,13.0,15.0,-1.0867550732981703,53.14544262558093
15,E06000016,Leicester,-1.1304,52.63592,14.0,14.0,-0.4700713538222946,52.78940011413667
16,E06000017,Rutland,-0.6263,52.66765,15.0,15.0,-0.2645101139970025,53.14544262558093
17,E06000018,Nottingham,-1.16667,52.95419,14.0,15.0,-0.6756325936475864,53.14544262558093
18,E06000019,"Herefordshire, County of",-2.73931,52.08154,9.0,12.0,-2.525683752075214,52.07731509124815
19,E06000020,Telford and Wrekin,-2.48941,52.71417,9.0,13.0,-2.731244991900506,52.43335760269241
20,E06000021,Stoke-on-Trent,-2.15888,53.01707,11.0,15.0,-1.9090000325993381,53.14544262558093
21,E06000022,Bath and North East Somerset,-2.48654,51.35604,10.0,9.0,-2.320122512249922,51.00918755691538
22,E06000023,"Bristol, City of",-2.57742,51.47115,10.0,10.0,-2.11456127242463,51.36523006835964
23,E06000024,North Somerset,-2.75438,51.39706,9.0,9.0,-2.731244991900506,51.00918755691538
24,E06000025,South Gloucestershire,-2.46922,51.54673,10.0,11.0,-2.320122512249922,51.721272579803895
25,E06000026,Plymouth,-4.11297,50.40494,6.0,6.0,-3.7590511910269657,49.941060022582604
26,E06000027,Torbay,-3.55523,50.47092,7.0,7.0,-3.5534899512016738,50.29710253402686
27,E06000030,Swindon,-1.73367,51.57763,11.0,10.0,-1.7034387927740462,51.36523006835964
28,E06000031,Peterborough,-0.26874,52.59214,17.0,15.0,0.5577348453041653,53.14544262558093
29,E06000032,Luton,-0.42319,51.89102,15.0,13.0,-0.2645101139970025,52.43335760269241
30,E06000033,Southend-on-Sea,0.706923,51.54917,20.0,11.0,1.791102284255917,51.721272579803895
31,E06000034,Thurrock,0.334861,51.50998,19.0,10.0,1.585541044430625,51.36523006835964
32,E06000035,Medway,0.563174,51.44772,20.0,10.0,1.996663524081209,51.36523006835964
33,E06000036,Bracknell Forest,-0.73363,51.4113,13.0,8.0,-0.8811938334728785,50.65314504547112
34,E06000037,West Berkshire,-1.27364,51.44559,12.0,10.0,-1.2923163131234623,51.36523006835964
35,E06000038,Reading,-0.99071,51.45302,13.0,10.0,-0.8811938334728785,51.36523006835964
36,E06000039,Slough,-0.57617,51.5035,14.0,10.0,-0.4700713538222946,51.36523006835964
37,E06000040,Windsor and Maidenhead,-0.67541,51.48034,14.0,9.0,-0.6756325936475864,51.00918755691538
38,E06000041,Wokingham,-0.89935,51.42296,13.0,9.0,-1.0867550732981703,51.00918755691538
39,E06000042,Milton Keynes,-0.7407,52.07241,14.0,13.0,-0.6756325936475864,52.43335760269241
40,E06000043,Brighton and Hove,-0.15079,50.8465,16.0,6.0,0.3521736054788732,49.941060022582604
41,E06000044,Portsmouth,-1.07006,50.808,13.0,7.0,-1.0867550732981703,50.29710253402686
42,E06000045,Southampton,-1.39952,50.9212,12.0,8.0,-1.2923163131234623,50.65314504547112
43,E06000046,Isle of Wight,-1.33366,50.67129,12.0,7.0,-1.4978775529487542,50.29710253402686
44,E06000047,County Durham,-1.8405,54.68513,10.0,20.0,-2.11456127242463,54.92565518280222
45,E06000049,Cheshire East,-2.29299,53.16793,10.0,15.0,-2.320122512249922,53.14544262558093
46,E06000050,Cheshire West and Chester,-2.70298,53.16336,9.0,14.0,-2.525683752075214,52.78940011413667
